,513FC31103.pv,513HC31114-5.mv,513PC31201.pv,513LC31202.pv,513FC31409.pv,513FC31114-5.pv,513TC31220.pv,MFR
04-05-18 19:45,24856.584,0.153,30.414835,79.657906,50850.578,0.163994446,80.399605,3.4
04-05-18 21:45,25537.25,0.153,30.527121,78.532608,42229.813,0.12973946,78.861328,3.2
04-05-18 23:45,25689.266,0.153,30.35618,78.842636,45335.852,0.15000282,78.818115,3.2
04-06-18 1:45,25098.754,0.153,30.894308,79.1735,43077.016,0.15154319,79.02272,3.1
04-06-18 3:45,24853.941,0.15000001,30.680647,78.677299,40404.387,0.12258227,79.038483,3.3
04-06-18 5:45,25362.809,0.15000001,30.43894,78.293411,32548.566,0.14054979,79.061462,3.2
04-06-18 7:45,25642.936,0.15000001,30.419355,78.568573,42557.902,0.16687457,79.56543,3.4
04-06-18 9:45,27009.32,0.15000001,30.504484,78.852005,45878.48,0.16051038,79.390396,3.6
04-06-18 11:45,27971.072,0.15000001,,,,0.15016428,,3.7
04-06-18 13:45,27307.461,0.15000001,30.204451,78.931427,49528.848,0.15901302,78.511749,3.8
04-06-18 15:45,26623.619,0.15000001,30.2015,78.574249,43206.711,0.14162757,78.461151,3.8
04-06-18 17:45,26202.795,0.15000001,30.100878,78.408134,47989.695,0.14623687,79.224449,3.9
04-06-18 19:45,27111.234,0.15000001,30.611469,78.649803,53392.883,0.151040167,79.140877,3.9
04-07-18 3:45,27082.609,0.147,30.590492,78.863838,55082.727,0.14488116,80.319565,4.2
04-07-18 5:45,28930.453,0.147,30.481924,79.074173,54570.813,0.17370227,79.111809,4.1
04-07-18 10:45,27400.895,0.18000001,30.272097,78.382919,50360.422,0.18433079,78.874405,4.3
04-07-18 11:45,27939.512,0.18000001,30.441353,78.228462,45396.16,0.158793857,78.674881,4.6
04-07-18 12:45,28432.883,0.18000001,30.622843,79.185425,53920.688,0.1369673,78.920799,5.3
04-07-18 13:45,26007.012,0.18000001,30.580696,80.76429,69510.273,0.13982911,80.157379,5.9
04-07-18 15:45,28168.322,0.18000001,30.509495,78.052299,47686.828,0.1293976,78.51136,7
04-07-18 18:45,25668.904,0.184,31.480165,78.789322,52605.605,0.12769268,78.758369,10.6
04-07-18 19:45,26311.115,0.18000001,30.693001,79.29467,51344.145,0.150328501,78.446457,10.5
04-07-18 20:45,26082.227,0.178,31.455624,80.805847,68133.703,0.12190082,79.719521,11.3
04-07-18 21:45,24206.143,0.178,30.951958,78.816666,53741.348,0.126273451,78.920341,12
04-07-18 23:45,24517.496,0.17,31.272776,78.390617,58563.789,0.106395733,79.269287,11.8
04-08-18 1:45,25277.557,0.17,31.204201,79.88076,56158.629,0.122168707,79.245842,12.1
04-08-18 3:45,25690.301,0.17,31.177696,79.407677,52839.23,0.12486943,79.286324,12.5
04-08-18 5:45,26486.148,0.17,30.937983,79.401085,59704.266,0.11345579,79.100235,11.8
04-08-18 7:45,23169.318,0.17,31.077019,79.389351,47545.852,0.11298066,78.751045,12.7
04-08-18 9:45,23370.322,0.17,31.046368,79.08226,53161.836,0.10026611,79.468681,12.9
04-08-18 11:45,24898.553,0.17,31.019434,78.344391,49098.922,0.10739033,78.943382,12.6
04-08-18 13:45,24833.404,0.17,30.850471,77.847046,42137.25,0.105566185,78.377357,12.8
04-08-18 15:45,24328.451,0.17,30.990147,79.087776,54866.91,0.11585693,79.279007,12.2
04-08-18 17:45,25470.547,0.17200001,31.098064,78.223785,51796.863,0.12052306,78.714508,11.9
04-08-18 19:45,24839.414,0.17200001,30.96612,78.577057,59276.188,0.11143455,79.386749,12.3
04-08-18 21:45,24510.223,0.17399999,30.854086,79.056572,50841.816,0.121366111,79.331383,12.3
04-08-18 23:45,24703.939,0.177,31.038692,78.364487,54622.32,0.13095012,79.103386,12.1
04-09-18 1:45,24034.809,0.18000001,31.240118,79.338196,41110.891,0.10513576,78.665825,12.4
04-09-18 5:45,25000.729,0.18000001,30.290234,79.068962,63970.23,0.13670087,79.579834,12.1
04-09-18 7:45,25962.832,0.183,30.803083,78.697655,50100.254,0.11628906,78.25843,11.2
04-09-18 9:45,23156.496,0.183,30.893391,78.726517,45506.453,0.12078724,79.162613,12.7
04-09-18 11:45,24385.709,0.183,31.3442,78.405701,40353.762,0.12013295,78.449226,12.4
04-09-18 13:45,25576.955,0.185,30.938221,81.085358,46711.406,0.1104501,79.173187,12
04-09-18 15:45,24316.18,0.18700001,30.846655,79.936508,52539.164,0.11582979,79.49707,12.4
04-09-18 17:45,23829.963,0.18799999,30.81881,79.09613,45390.348,0.097541951,79.216064,12.5
04-09-18 19:45,23628.568,0.18799999,30.996506,80.40992,55348.012,0.1167747,79.916794,12.3
04-09-18 21:45,23902.346,0.18799999,31.138697,79.63472,51646.328,0.10832863,79.457603,12
04-09-18 23:45,24677.045,0.192,31.24161,80.037758,54393.465,0.11099113,79.275444,12
04-10-18 1:45,24414.939,0.192,31.125238,78.326538,36972.945,0.10393611,78.163826,12.2
04-10-18 3:45,23994.594,0.192,30.936653,78.740456,46556.539,0.12259397,79.059433,12.6
04-10-18 5:45,24582.355,0.192,30.928867,79.101952,45934.254,0.125115578,78.986511,12.3
04-10-18 7:45,24041.785,0.19400001,31.121542,79.802498,51530.887,0.12036537,79.385635,12.8
04-10-18 9:45,23808.232,0.197,31.163553,78.491272,43908.035,0.11405838,78.96685,12.7
04-10-18 11:45,23958.814,0.197,31.131767,77.74823,41957.266,0.12563187,78.829041,12.7
